iter	Logloss
0	0.6612312371
1	0.6335970817
2	0.6074360302
3	0.5863090813
4	0.5671750103
5	0.5472360502
6	0.5293560423
7	0.5122155233
8	0.497222175
9	0.4831690259
10	0.4707363666
11	0.4592141476
12	0.4493711256
13	0.4398950009
14	0.4310852441
15	0.4232995209
16	0.4160972258
17	0.4096223034
18	0.403072503
19	0.3973413008
20	0.3916528181
21	0.3867143524
22	0.3813800669
23	0.3768177356
24	0.3727302592
25	0.3692347892
26	0.3666488743
27	0.3628977224
28	0.3599467154
29	0.3571121081
30	0.3542703895
31	0.3510695843
32	0.3489122612
33	0.3460315214
34	0.3437926359
35	0.3415094499
36	0.3395261214
37	0.3371309429
38	0.3350012955
39	0.3331893174
40	0.3320222552
41	0.3309001659
42	0.3295627344
43	0.3279087531
44	0.3265811668
45	0.3251472809
46	0.3239069798
47	0.3224605131
48	0.3214814973
49	0.3205170476
50	0.3195516705
51	0.318786403
52	0.3174237424
53	0.3166029912
54	0.3158725926
55	0.3146963958
56	0.3131705783
57	0.3122053449
58	0.3113509091
59	0.3104684071
60	0.3093858312
61	0.308568585
62	0.3078021818
63	0.3072101534
64	0.3064770426
65	0.3059441576
66	0.3052191387
67	0.3042946464
68	0.3035350275
69	0.3027443445
70	0.3023002943
71	0.301576819
72	0.3007021297
73	0.3000790057
74	0.2991746433
75	0.2987415165
76	0.2981355481
77	0.2976514537
78	0.2973333966
79	0.2967771531
80	0.2962068471
81	0.295865327
82	0.2953395304
83	0.294557574
84	0.2940398446
85	0.2934432337
86	0.2927435503
87	0.2922507603
88	0.2916688665
89	0.2906868971
90	0.2901457122
91	0.2895956214
92	0.2891192335
93	0.2884985828
94	0.2878618435
95	0.2874248194
96	0.2869434194
97	0.2866193388
98	0.2862557243
99	0.2858964171
100	0.2853935669
101	0.284847781
102	0.2839289915
103	0.2834223526
104	0.2829145966
105	0.2823707564
106	0.2817233434
107	0.281368953
108	0.2810029709
109	0.2807317187
110	0.2804287505
111	0.2800162407
112	0.279528687
113	0.2791282046
114	0.2786315702
115	0.2781841351
116	0.2778742269
117	0.2773967049
118	0.277013016
119	0.2766990617
120	0.2763111894
121	0.2760230649
122	0.2757602223
123	0.2753298338
124	0.2750220763
125	0.2745903503
126	0.2743158984
127	0.2741335474
128	0.273873398
129	0.2732201201
130	0.2729789104
131	0.2725899397
132	0.2722681024
133	0.272017444
134	0.2718128212
135	0.2713897739
136	0.2712706975
137	0.2708783285
138	0.2703672451
139	0.2700150276
140	0.2696600283
141	0.2692970048
142	0.268928563
143	0.2687222283
144	0.2683539713
145	0.2680328315
146	0.2676828161
147	0.2672107212
148	0.2669766449
149	0.2668036492
150	0.2666012702
151	0.265994077
152	0.2656758264
153	0.2654267894
154	0.2652342081
155	0.2649795922
156	0.2647438191
157	0.2643684987
158	0.2641771955
159	0.2637646525
160	0.2633721345
161	0.263167387
162	0.2629178997
163	0.2625842367
164	0.2622221321
165	0.2620424013
166	0.2614643235
167	0.2613516824
168	0.2611024354
169	0.2607945318
170	0.2603513749
171	0.2599433908
172	0.2597471482
173	0.2595632021
174	0.259088057
175	0.2587314116
176	0.2585947419
177	0.2583799738
178	0.2581213376
179	0.2578237644
180	0.2572115978
181	0.2569685461
182	0.2567717024
183	0.2564916784
184	0.2563036269
185	0.2561342386
186	0.2558923133
187	0.2556524111
188	0.2553828372
